sets,hand_size,deals,hand_type,count
11,15,10,ascending,83438
13,18,12,ascending,15265
9,15,21,ascending,31260601
1,12,17,descending,39120361949
0,18,7,descending,108
0,12,21,ascending,68561746081
2,18,11,descending,5805
3,15,20,descending,265305328
5,15,2,ascending,9987433004
8,12,15,ascending,367370566
7,18,23,ascending,155273546
5,12,1,ascending,84620523132
4,15,19,ascending,22822125097
2,15,10,descending,345572435
15,18,20,ascending,156
8,12,19,ascending,364013861
11,12,0,ascending,3182383
3,21,9,ascending,18
7,12,9,descending,55810
0,12,21,descending,29613422633
8,15,22,descending,34937
12,18,9,ascending,158453
7,18,7,ascending,144708364
8,15,23,ascending,283483238
14,18,21,ascending,1055
2,15,17,ascending,19438272177
13,12,4,ascending,104154
1,18,20,descending,1356
10,15,18,ascending,2053631
7,21,22,ascending,11065
5,15,19,descending,32077667
3,21,16,ascending,19
3,12,1,ascending,354348741960
8,12,0,ascending,960511337
6,21,7,ascending,4910
5,15,9,descending,30827342
14,18,13,ascending,997
3,15,21,ascending,26625804199
1,18,5,ascending,2183435
12,12,5,ascending,456631
0,18,5,descending,107
5,15,9,ascending,13048173025
4,15,22,descending,117092265
3,15,6,ascending,25446000783
2,12,1,descending,9644205911
6,15,22,ascending,5269922562
1,18,6,descending,1160
10,15,7,ascending,2136600
2,18,8,descending,5216
14,18,16,ascending,1017
13,12,7,ascending,99129
4,15,18,descending,116444716
0,15,12,descending,67072188
10,18,16,ascending,6200097
6,15,5,descending,5163015
1,18,11,descending,1294
2,12,5,descending,20556922509
14,21,19,ascending,41
10,12,18,ascending,12074644
2,18,3,ascending,21451170
8,15,18,descending,35031
